x, y
4027.3225814924235, 108.65379732585544
4042.623127515251, 113.4616501624255
4063.934418893771, 116.3462797016718
4079.7813963125705, 118.26919488888701
4097.814216049161, 119.23090924091831
4116.393467181722, 110.5770206231788
4124.590171589109, 103.84625259939372
4130.054835750536, 146.153981336059
4134.4264036522145, 177.88470086103072
4142.622991325698, 220.19242959769602
4145.901813169336, 258.653917146453
4149.726949675042, 300.9616458831183
4154.6448322387905, 359.6154375032309
4154.6448322387905, 408.65393426368126
4156.284126426707, 444.23079227319175
4160.109262932414, 477.88463239211774
4164.481064301897, 507.6923340265049
4172.677768709283, 534.6153547699608
4180.328041720697, 497.1153248148116
4182.513650570683, 454.8075960781463
4187.97831473211, 417.30772017805106
4196.174902405594, 388.46163019232563
4197.81419659351, 368.2693261209702
4207.103997260645, 365.38469658172374
4215.8470163301, 370.19224130818526
4225.683248393207, 374.038379792724
4233.879952800592, 375.0000941447553
4238.251403968369, 362.5000670424772
4248.087636031476, 366.34620552701597
4261.20222300261, 367.30761176893895
4271.038455065716, 374.038379792724
4280.874336927116, 369.2308350662625
4284.153042036851, 356.7307052606149
