x, y
3944.808755820887, 138.46149896024244
3970.491848568891, 139.42321331227373
3991.8032566813135, 142.30763744478122
4010.3825078138757, 141.34612849948894
4033.3333268481165, 141.34612849948894
4052.4590093766506, 145.19226698402773
4072.131123301157, 146.153981336059
4092.8962167515097, 149.03840546856648
4106.557351852518, 145.19226698402773
4115.300721123681, 145.19226698402773
4123.497308797164, 174.9999686184149
4128.415308094815, 210.57703203466443
4130.601267146508, 247.11550169283672
4138.251540157921, 285.5769892415937
4144.808716909587, 309.6153290941186
4145.901813169336, 341.34625402582935
4144.808716909587, 381.73086216854057
4149.18051827907, 413.4615816935123
4148.633853415294, 455.7693104301776
4154.098400842819, 491.3461684396881
4156.284126426707, 516.3462226442442
4160.109262932414, 541.3461227937462
4167.213104547855, 512.5000328080207
4169.945378261618, 531.7307765823992
4174.863377559269, 551.9230806537548
4177.595651273032, 550.0000627631703
4180.328041720697, 561.5384268651017
4186.885451940167, 565.3846167013252
4192.89619729586, 555.7691677866088
4197.81419659351, 536.5385267155999
4198.360861457287, 507.6923340265049
4204.37160681298, 494.23079797893456
4208.1967433186865, 538.4615446061844
4207.103997260645, 511.5384725110437
4212.021879824393, 551.9230806537548
4216.939879122045, 568.2691948888869
4224.043720737486, 557.6922883805629
4232.240425144872, 569.2307038341793
4235.519130254606, 537.4999843092074
4235.519130254606, 525.9615688555912
4236.065561650578, 503.84609283859675
4237.158657910327, 495.19220422085743
4240.437363020062, 511.5384725110437
4243.16940326602, 531.7307765823992
4249.18049882342, 539.4231049031615
4253.005635329127, 516.3462226442442
4255.191244179113, 500.0000570574275
4256.830771834833, 476.92302074345594
4263.388182054303, 461.53836410193145
4273.224063915703, 473.0769849622867
4280.874336927116, 446.153912867146
4286.885432484516, 428.8462383350369
4292.349746444237, 427.8845239830056
4307.650292467064, 417.30772017805106
4327.868837787542, 412.50007274822
4340.983774960384, 413.4615816935123
4355.191458191267, 406.73081366972724
4372.67761306408, 394.23068386407965
