x, y
3942.623146970901, 132.69244528848864
3968.8524376470727, 136.53858377302743
4004.3717624581827, 138.46149896024244
4030.0546217383817, 138.46149896024244
4065.5739465494917, 143.26935179681251
4095.081942335398, 145.19226698402773
4120.218603687429, 144.23086074210497
4126.776130640801, 156.73088784438286
4133.879972256243, 196.15378163506278
4136.065581106229, 240.38473366905163
4139.344286215964, 299.999931531087
4140.4371490079075, 346.1539014556604
4142.076676663628, 429.80764457695966
4145.355381773363, 471.15386436833256
4148.633853415294, 514.4230506986054
4151.9125585250285, 550.0000627631703
4155.737695030735, 585.5769207726808
4156.830791290484, 635.5768751267387
4161.2023591921625, 686.5384411294585
4165.027495697869, 653.8461613075096
4164.481064301897, 624.9999686184149
4168.306200807604, 589.4230079055349
4174.316946163297, 560.5769692714941
4177.04921987706, 609.6153119768902
4177.04921987706, 637.5000470723777
4181.4207877787385, 662.4999472218794
4181.967219174711, 580.7692733428497
4184.699492888473, 546.1538729269467
4186.885451940167, 612.4999928678216
4190.710588445873, 644.2308150961628
4196.721333801566, 604.8076645470592
4199.453724249231, 586.5384810696578
4200.546470307273, 562.499935810394
4205.464469604924, 527.8845867461757
4208.743174714658, 510.5768608623819
4212.021879824393, 536.5385267155999
4217.486543985821, 551.9230806537548
4221.311680491528, 524.0384482616371
4223.497289341514, 498.0769364634734
4224.043720737486, 459.61544891471635
4228.415288639165, 400.00004564594195
4226.775994451249, 425.96160879579037
4227.868857243193, 358.65392855793846
4235.519130254606, 324.0383740869812
4241.530225812006, 283.65376594427033
4254.098381387168, 249.03841688005213
4274.316926707646, 229.80762175398877
4285.7923362247675, 215.38457676112594
4300.5464508516225, 199.0384111743093
4313.114956628491, 218.26930900374197
4335.519110798956, 222.11534478491123
4335.519110798956, 199.0384111743093
4348.634047971797, 226.92319762148128
4357.377067041253, 212.49994722187964
4359.016594696974, 196.15378163506278
4367.759730500331, 206.73089355012567
4374.317140719801, 205.76917919809438
4379.235140017452, 173.0770534311999
4391.803295592614, 198.07700493238636
