x, y
4050.8197151887343, 339.42313343187527
4071.5846919051846, 346.1539014556604
4087.9783341877605, 353.8460757213684
4098.9070788411045, 349.9999372368298
4115.84703578575, 345.1923925103681
4122.950994135094, 340.38453967379803
4127.322445302871, 368.2693261209702
4128.961739490787, 397.1154161066955
4132.786875996494, 448.0768280543611
4134.4264036522145, 481.730668173287
4139.8907176119355, 518.2692405348289
4146.994559227377, 556.7308307869554
4155.737695030735, 583.6539028820962
4177.04921987706, 615.3845710553832
4166.120241755912, 598.0768965232741
4190.163923582097, 628.8461071029535
4202.732429358965, 642.307643150524
4215.8470163301, 650.961583119948
4228.415288639165, 653.8461613075096
4243.715834661992, 649.9999201196014
4259.563045548596, 647.1153932837245
4279.235159473103, 635.5768751267387
4300.0000194556505, 624.9999686184149
4316.940093134199, 617.3077430010221
4349.72679402984, 597.1154389296665
4367.759730500331, 587.500041366635
4393.442823248335, 561.5384268651017
