,time since runaway [s],gas release rate [kg/s]
0,0.0,0.0
1,0.1,0.0022782584644920577
2,0.2,0.004556516928984115
3,0.30000000000000004,0.006834775393476174
4,0.4,0.0083645124626805
5,0.5,0.009159260284939574
6,0.6000000000000001,0.010295915674004117
7,0.7000000000000001,0.011432571063068657
8,0.8,0.0125692264521332
9,0.9,0.013705881841197741
10,1.0,0.014807035694809545
11,1.1,0.015415967311382532
12,1.2000000000000002,0.01602489892795552
13,1.3,0.016633830544528508
14,1.4000000000000001,0.017242762161101495
15,1.5,0.017854177032305515
16,1.6,0.018625473407339253
17,1.7000000000000002,0.019396769782372987
18,1.8,0.02016806615740673
19,1.9000000000000001,0.020939362532440463
20,2.0,0.0217106589074742
21,2.1,0.022427080810448915
22,2.2,0.023141412478644322
23,2.3000000000000003,0.02385574414683973
24,2.4000000000000004,0.024570075815035137
25,2.5,0.025385106481865774
26,2.6,0.027319037963705602
27,2.7,0.029252969445545438
28,2.8000000000000003,0.03118690092738527
29,2.9000000000000004,0.0331208324092251
30,3.0,0.035054763891064926
31,3.1,0.03698869537290476
32,3.2,0.039190144875798257
33,3.3000000000000003,0.042535016867105466
34,3.4000000000000004,0.04587988885841268
35,3.5,0.04922476084971989
36,3.6,0.05256963284102711
37,3.7,0.05576664565599341
38,3.8000000000000003,0.05844916859435952
39,3.9000000000000004,0.061131691532725636
40,4.0,0.06380526602024349
41,4.1000000000000005,0.06575681618228132
42,4.2,0.06770836634431919
43,4.3,0.06965991650635703
44,4.4,0.07062157197445292
45,4.5,0.07075308152450592
46,4.6000000000000005,0.07038143628440392
47,4.7,0.07000979104430193
48,4.800000000000001,0.06963814580419993
49,4.9,0.06926650056409794
50,5.0,0.06883485892396667
51,5.1000000000000005,0.06682814504332131
52,5.2,0.06482143116267598
53,5.300000000000001,0.06281471728203064
54,5.4,0.05888577732993852
55,5.5,0.054660271962760826
56,5.6000000000000005,0.05036138023082045
57,5.7,0.04606248849888012
58,5.800000000000001,0.041763596766939755
59,5.9,0.03746470503499943
60,6.0,0.033209632112454805
61,6.1000000000000005,0.02962705458467514
62,6.2,0.02604447705689551
63,6.300000000000001,0.022461899529115842
64,6.4,0.01887932200133621
65,6.5,0.015296744473556577
66,6.6000000000000005,0.012278035213380958
67,6.7,0.009278947145551029
68,6.800000000000001,0.006279859077721075
69,6.9,0.0032807710098911457
70,7.0,0.0
