x, y
3878.142141035955, 157.6923967896753
3925.136758630283, 156.73088784438286
3962.295144161505, 162.49994151613683
4023.497444986717, 162.49994151613683
4054.0985370323715, 167.30779435270688
4086.885237928012, 166.34628540741463
4118.032761369639, 174.9999686184149
4126.229699244829, 220.19242959769602
4130.601267146508, 258.653917146453
4132.240444600522, 316.34609711790387
4136.612012502201, 368.2693261209702
4143.16942272167, 433.65388576486794
4154.6448322387905, 474.038493907579
4163.934399438121, 514.4230506986054
4174.863377559269, 547.1154332239238
4190.710588445873, 569.2307038341793
4205.464469604924, 575.9614718579645
4234.4262674626625, 568.2691948888869
4260.65590834054, 567.3077372952794
4290.164137594251, 562.499935810394
4320.765229639906, 542.3076317390385
4355.191458191267, 518.2692405348289
4381.420748867438, 510.5768608623819
